Wall time,Step,Value
1680863913.7071517,706,1.0000000116860974e-07
1680864161.3681197,707,1.0000000116860974e-07
1680864657.0070336,709,1.0000000116860974e-07
1680864904.828804,710,1.0000000116860974e-07
1680865152.5283666,711,1.0000000116860974e-07
1680866143.6602464,715,1.0000000116860974e-07
1680867134.9581385,719,1.0000000116860974e-07
1680867382.783909,720,1.0000000116860974e-07
1680867878.4136791,722,1.0000000116860974e-07
1680868126.195495,723,1.0000000116860974e-07
1680868373.8412545,724,1.0000000116860974e-07
1680868621.5009153,725,1.0000000116860974e-07
1680868869.3150563,726,1.0000000116860974e-07
1680869117.039368,727,1.0000000116860974e-07
1680869860.1995757,730,1.0000000116860974e-07
1680870107.850894,731,1.0000000116860974e-07
1680870355.7818668,732,1.0000000116860974e-07
1680871346.824201,736,1.0000000116860974e-07
1680871594.6277518,737,1.0000000116860974e-07
1680872090.223225,739,1.0000000116860974e-07
1680872338.0591612,740,1.0000000116860974e-07
1680872585.8065872,741,1.0000000116860974e-07
1680872833.408871,742,1.0000000116860974e-07
1680873328.9415512,744,1.0000000116860974e-07
1680874072.2709167,747,1.0000000116860974e-07
1680874320.192043,748,1.0000000116860974e-07
1680874815.8127809,750,1.0000000116860974e-07
1680875064.5326903,751,1.0000000116860974e-07
1680875312.2317033,752,1.0000000116860974e-07
1680875559.9616017,753,1.0000000116860974e-07
1680875807.7959075,754,1.0000000116860974e-07
1680876055.6597795,755,1.0000000116860974e-07
1680876551.2570674,757,1.0000000116860974e-07
1680877294.7091725,760,1.0000000116860974e-07
1680877542.2673101,761,1.0000000116860974e-07
1680878037.9374118,763,1.0000000116860974e-07
1680878533.4459257,765,1.0000000116860974e-07
1680878781.152805,766,1.0000000116860974e-07
1680879028.9282312,767,1.0000000116860974e-07
1680879276.7280376,768,1.0000000116860974e-07
1680879772.2439287,770,1.0000000116860974e-07
1680880019.9205623,771,1.0000000116860974e-07
1680880267.8192074,772,1.0000000116860974e-07
1680880515.505193,773,1.0000000116860974e-07
1680880763.3436644,774,1.0000000116860974e-07
1680881011.2719362,775,1.0000000116860974e-07
1680881258.948023,776,1.0000000116860974e-07
1680881506.6152372,777,1.0000000116860974e-07
1680882250.1316857,780,1.0000000116860974e-07
1680882497.8828855,781,1.0000000116860974e-07
1680883489.0955675,785,1.0000000116860974e-07
1680883736.8902075,786,1.0000000116860974e-07
1680884232.273736,788,1.0000000116860974e-07
1680884727.74075,790,1.0000000116860974e-07
1680884975.435585,791,1.0000000116860974e-07
1680885223.2919936,792,1.0000000116860974e-07
1680885471.068926,793,1.0000000116860974e-07
1680885718.9738245,794,1.0000000116860974e-07
1680885966.7006454,795,1.0000000116860974e-07
1680886214.4661965,796,1.0000000116860974e-07
1680886462.1838775,797,1.0000000116860974e-07
1680886959.1995008,799,1.0000000116860974e-07
1680887206.9606857,800,1.0000000116860974e-07
1680887455.4596026,801,1.0000000116860974e-07
1680887950.9449453,803,1.0000000116860974e-07
1680888694.6328666,806,1.0000000116860974e-07
1680888942.3616798,807,1.0000000116860974e-07
1680889190.2236235,808,1.0000000116860974e-07
1680889437.9554434,809,1.0000000116860974e-07
1680889685.836637,810,1.0000000116860974e-07
1680890181.3619099,812,1.0000000116860974e-07
1680890429.1946087,813,1.0000000116860974e-07
1680890676.7993546,814,1.0000000116860974e-07
1680891172.339142,816,1.0000000116860974e-07
1680891420.396753,817,1.0000000116860974e-07
1680891915.7217312,819,1.0000000116860974e-07
1680892658.9295824,822,1.0000000116860974e-07
1680893154.5150647,824,1.0000000116860974e-07
1680893402.435553,825,1.0000000116860974e-07
1680893650.1369038,826,1.0000000116860974e-07
1680894393.5003483,829,1.0000000116860974e-07
1680895136.673014,832,1.0000000116860974e-07
1680895384.408341,833,1.0000000116860974e-07
1680895880.181127,835,1.0000000116860974e-07
1680896127.9188368,836,1.0000000116860974e-07
1680896375.6961887,837,1.0000000116860974e-07
1680896871.1248863,839,1.0000000116860974e-07
1680897118.922331,840,1.0000000116860974e-07
1680898110.046268,844,1.0000000116860974e-07
1680898605.476416,846,1.0000000116860974e-07
1680898853.3704143,847,1.0000000116860974e-07
1680899100.9957678,848,1.0000000116860974e-07
1680899348.819423,849,1.0000000116860974e-07
1680899845.1015987,851,1.0000000116860974e-07
1680900092.8956254,852,1.0000000116860974e-07
1680900340.693266,853,1.0000000116860974e-07
1680900588.5309224,854,1.0000000116860974e-07
1680901084.0649695,856,1.0000000116860974e-07
1680901579.436299,858,1.0000000116860974e-07
1680902074.9083078,860,1.0000000116860974e-07
1680902322.7927144,861,1.0000000116860974e-07
1680902570.5123622,862,1.0000000116860974e-07
1680902818.3176587,863,1.0000000116860974e-07
1680903066.0801337,864,1.0000000116860974e-07
1680904057.1760135,868,1.0000000116860974e-07
